Municipality,Province,Gender,Registered voters (2019),Registered voters (2022),Change,Percentage change
San Miguel,Leyte,MALE,"7,287.0","7,633",346.0,4.75
San Miguel,Surigao Del Sur,MALE,"12,848.0","14,212","1,364.0",10.62
San Miguel,Zamboanga Del Sur,MALE,"6,351.0","6,956",605.0,9.53
San Narciso,Quezon,MALE,"14,981.0","16,089","1,108.0",7.4
San Narciso,Zambales,MALE,"9,838.0","10,209",371.0,3.77
San Nicolas,Batangas,MALE,"8,643.0","8,707",64.0,0.74
San Nicolas,Ilocos Norte,MALE,"11,990.0","13,202","1,212.0",10.11
San Nicolas,Pangasinan,MALE,"12,979.0","13,601",622.0,4.79
San Pablo,Isabela,MALE,"7,968.0","8,426",458.0,5.75
San Pablo,Zamboanga Del Sur,MALE,"9,079.0","9,208",129.0,1.42
San Pablo City,Laguna,MALE,"65,181.0","68,499","3,318.0",5.09
San Pascual,Batangas,MALE,"20,276.0","19,928",-348.0,-1.72
San Pascual,Masbate,MALE,"13,582.0","14,379",797.0,5.87
San Pedro City,Laguna,MALE,"85,228.0","80,478","-4,750.0",-5.57
San Policarpo,Eastern Samar,MALE,"6,160.0","6,869",709.0,11.51
San Quintin,Abra,MALE,"2,321.0","2,293",-28.0,-1.21
San Quintin,Pangasinan,MALE,"11,412.0","11,945",533.0,4.67
San Rafael,Bulacan,MALE,"30,296.0","31,353","1,057.0",3.49
San Rafael,Iloilo,MALE,"5,819.0","6,252",433.0,7.44
San Remigio,Antique,MALE,"10,711.0","11,793","1,082.0",10.1
San Remigio,Cebu,MALE,"20,270.0","21,046",776.0,3.83
San Ricardo,Southern Leyte,MALE,"3,745.0","3,724",-21.0,-0.56
San Roque,Northern Samar,MALE,"8,880.0","8,833",-47.0,-0.53
San Sebastian,Samar (Western Samar),MALE,"3,398.0","3,616",218.0,6.42
San Simon,Pampanga,MALE,"19,182.0","23,087","3,905.0",20.36
San Teodoro,Oriental Mindoro,MALE,"6,128.0","6,590",462.0,7.54
San Vicente,Camarines Norte,MALE,"3,962.0","4,120",158.0,3.99
San Vicente,Ilocos Sur,MALE,"3,875.0","4,299",424.0,10.94
San Vicente,Northern Samar,MALE,"3,188.0","3,102",-86.0,-2.7
San Vicente,Palawan,MALE,"10,550.0","11,776","1,226.0",11.62
Sanchez-Mira,Cagayan,MALE,"7,789.0","9,030","1,241.0",15.93
Santa,Ilocos Sur,MALE,"5,173.0","5,095",-78.0,-1.51
Santa Ana,Cagayan,MALE,"10,487.0","11,929","1,442.0",13.75
Santa Ana,Pampanga,MALE,"15,404.0","16,639","1,235.0",8.02
Santa Barbara,Iloilo,MALE,"18,697.0","20,524","1,827.0",9.77
Santa Barbara,Pangasinan,MALE,"25,664.0","27,651","1,987.0",7.74
Santa Catalina,Ilocos Sur,MALE,"5,216.0","5,338",122.0,2.34
Santa Catalina,Negros Oriental,MALE,"22,424.0","22,614",190.0,0.85
Santa Cruz,Davao Del Sur,MALE,"31,793.0","37,544","5,751.0",18.09
Santa Cruz,Ilocos Sur,MALE,"12,708.0","13,237",529.0,4.16
Santa Cruz,Laguna,MALE,"33,892.0","37,663","3,771.0",11.13
Santa Cruz,Marinduque,MALE,"18,351.0","19,263",912.0,4.97
Santa Cruz,Occidental Mindoro,MALE,"12,454.0","12,396",-58.0,-0.47
Santa Cruz,Zambales,MALE,"19,680.0","20,346",666.0,3.38
Santa Elena,Camarines Norte,MALE,"12,383.0","13,870","1,487.0",12.01
Santa Fe,Cebu,MALE,"9,259.0","10,456","1,197.0",12.93
Santa Fe,Leyte,MALE,"7,263.0","7,542",279.0,3.84
Santa Fe,Nueva Vizcaya,MALE,"5,953.0","6,497",544.0,9.14
Santa Fe,Romblon,MALE,"5,719.0","5,834",115.0,2.01
Santa Ignacia,Tarlac,MALE,"14,943.0","15,942",999.0,6.69
Santa Josefa,Agusan Del Sur,MALE,"9,531.0","9,358",-173.0,-1.82
Santa Lucia,Ilocos Sur,MALE,"8,167.0","8,756",589.0,7.21
Santa Magdalena,Sorsogon,MALE,"5,865.0","6,199",334.0,5.69
Santa Marcela,Apayao,MALE,"4,069.0","4,291",222.0,5.46
Santa Margarita,Samar (Western Samar),MALE,"9,356.0","10,269",913.0,9.76
Santa Maria,Bulacan,MALE,"58,413.0","66,138","7,725.0",13.22
Santa Maria,Davao Occidental,MALE,"16,989.0","17,631",642.0,3.78
Santa Maria,Ilocos Sur,MALE,"10,557.0","10,475",-82.0,-0.78
Santa Maria,Isabela,MALE,"8,454.0","9,243",789.0,9.33
Santa Maria,Laguna,MALE,"10,236.0","11,890","1,654.0",16.16
Santa Maria,Pangasinan,MALE,"10,798.0","11,415",617.0,5.71
Santa Maria (Imelda),Romblon,MALE,"3,202.0","3,213",11.0,0.34
Santa Monica (Sapao),Surigao Del Norte,MALE,"4,112.0","4,098",-14.0,-0.34
Santa Praxedes,Cagayan,MALE,"1,944.0","1,754",-190.0,-9.77
Santa Rita,Pampanga,MALE,"12,518.0","13,722","1,204.0",9.62
Santa Rita,Samar (Western Samar),MALE,"15,038.0","15,812",774.0,5.15
Santa Rosa,Nueva Ecija,MALE,"21,295.0","23,658","2,363.0",11.1
Santa Rosa City,Laguna,MALE,"96,985.0","101,610","4,625.0",4.77
Santa Teresita,Batangas,MALE,"6,667.0","6,708",41.0,0.61
Santa Teresita,Cagayan,MALE,"5,476.0","6,135",659.0,12.03
Santander,Cebu,MALE,"5,985.0","6,358",373.0,6.23
Santiago,Agusan Del Norte,MALE,"7,045.0","7,953",908.0,12.89
Santiago,Ilocos Sur,MALE,"6,352.0","6,652",300.0,4.72
Santo Domingo,Ilocos Sur,MALE,"9,574.0","9,944",370.0,3.86
Santo Domingo,Nueva Ecija,MALE,"18,357.0","19,788","1,431.0",7.8
Santo Domingo (Libog),Albay,MALE,"12,189.0","12,956",767.0,6.29
Santo Nino,Samar (Western Samar),MALE,"5,852.0","5,885",33.0,0.56
Santo Nino,South Cotabato,MALE,"12,368.0","12,507",139.0,1.12
Santo Nino (Faire),Cagayan,MALE,"8,984.0","9,482",498.0,5.54
Santo Tomas,Batangas,MALE,"46,165.0","52,213","6,048.0",13.1
Santo Tomas,Davao (Davao Del Norte),MALE,"31,697.0","36,576","4,879.0",15.39
Santo Tomas,Isabela,MALE,"8,079.0","8,926",847.0,10.48
Santo Tomas,La Union,MALE,"12,248.0","12,926",678.0,5.54
Santo Tomas,Pampanga,MALE,"13,847.0","16,576","2,729.0",19.71
Santo Tomas,Pangasinan,MALE,"4,183.0","4,881",698.0,16.69
Santol,La Union,MALE,"4,824.0","5,006",182.0,3.77
Sapa-Sapa,Tawi-Tawi,MALE,"7,655.0","9,717","2,062.0",26.94
Sapad,Lanao Del Norte,MALE,"6,142.0","5,788",-354.0,-5.76
Sapang Dalaga,Misamis Occidental,MALE,"7,166.0","8,200","1,034.0",14.43
Sapi-An,Capiz,MALE,"9,360.0","9,321",-39.0,-0.42
Sara,Iloilo,MALE,"16,615.0","17,863","1,248.0",7.51
Sarangani,Davao Occidental,MALE,"7,918.0","8,501",583.0,7.36
Sariaya,Quezon,MALE,"41,472.0","46,350","4,878.0",11.76
Sarrat,Ilocos Norte,MALE,"8,987.0","8,980",-7.0,-0.08
Sasmuan (Sexmoan),Pampanga,MALE,"10,996.0","11,514",518.0,4.71
Science City Of Munoz,Nueva Ecija,MALE,"26,687.0","27,796","1,109.0",4.16
Sebaste,Antique,MALE,"6,294.0","6,489",195.0,3.1
Sen. Ninoy Aquino,Sultan Kudarat,MALE,"14,544.0","15,715","1,171.0",8.05
Sergio Osmena Sr.,Zamboanga Del Norte,MALE,"10,657.0","11,471",814.0,7.64
Sevilla,Bohol,MALE,"4,108.0","4,174",66.0,1.61
Shariff Aguak (Maganoy),Maguindanao,MALE,"8,477.0","10,160","1,683.0",19.85
Shariff Saydona Mustapha,Maguindanao,MALE,"4,128.0","4,567",439.0,10.63
Siasi,Sulu,MALE,"13,057.0","14,664","1,607.0",12.31
Siaton,Negros Oriental,MALE,"25,519.0","26,192",673.0,2.64
Siay,Zamboanga Sibugay,MALE,"13,390.0","14,823","1,433.0",10.7
Siayan,Zamboanga Del Norte,MALE,"11,263.0","12,993","1,730.0",15.36
Sibagat,Agusan Del Sur,MALE,"10,195.0","10,344",149.0,1.46
Sibalom,Antique,MALE,"18,076.0","19,515","1,439.0",7.96
Sibonga,Cebu,MALE,"14,974.0","16,272","1,298.0",8.67
Sibuco,Zamboanga Del Norte,MALE,"12,615.0","15,112","2,497.0",19.79
Sibulan,Negros Oriental,MALE,"15,171.0","17,141","1,970.0",12.99
Sibunag,Guimaras,MALE,"7,426.0","7,816",390.0,5.25
Sibutad,Zamboanga Del Norte,MALE,"6,749.0","7,005",256.0,3.79
Sibutu,Tawi-Tawi,MALE,"8,445.0","8,808",363.0,4.3
Sierra Bullones,Bohol,MALE,"8,512.0","8,989",477.0,5.6
Sigay,Ilocos Sur,MALE,"1,145.0","1,176",31.0,2.71
Sigma,Capiz,MALE,"11,002.0","11,456",454.0,4.13
Sikatuna,Bohol,MALE,"2,590.0","2,600",10.0,0.39
Silago,Southern Leyte,MALE,"4,805.0","4,991",186.0,3.87
Silang,Cavite,MALE,"63,972.0","70,452","6,480.0",10.13
Silay City,Negros Occidental,MALE,"41,919.0","43,746","1,827.0",4.36
Silvino Lobos,Northern Samar,MALE,"5,445.0","5,218",-227.0,-4.17
Simunul,Tawi-Tawi,MALE,"7,016.0","7,915",899.0,12.81
Sinacaban,Misamis Occidental,MALE,"7,397.0","7,604",207.0,2.8
Sinait,Ilocos Sur,MALE,"9,155.0","9,369",214.0,2.34
Sindangan,Zamboanga Del Norte,MALE,"31,375.0","36,522","5,147.0",16.4
Siniloan,Laguna,MALE,"12,437.0","13,572","1,135.0",9.13
Siocon,Zamboanga Del Norte,MALE,"14,584.0","14,673",89.0,0.61
Sipalay City,Negros Occidental,MALE,"24,428.0","27,100","2,672.0",10.94
Sipocot,Camarines Sur,MALE,"19,511.0","21,104","1,593.0",8.16
Siquijor,Siquijor,MALE,"10,507.0","10,920",413.0,3.93
Sirawai,Zamboanga Del Norte,MALE,"12,199.0","12,643",444.0,3.64
Siruma,Camarines Sur,MALE,"6,873.0","7,602",729.0,10.61
Sison,Pangasinan,MALE,"15,245.0","16,493","1,248.0",8.19
Sison,Surigao Del Norte,MALE,"5,609.0","6,207",598.0,10.66
Sitangkai,Tawi-Tawi,MALE,"12,393.0","13,486","1,093.0",8.82
Socorro,Oriental Mindoro,MALE,"11,176.0","12,205","1,029.0",9.21
Socorro,Surigao Del Norte,MALE,"8,366.0","8,916",550.0,6.57
Sofronio Espanola,Palawan,MALE,"10,933.0","11,586",653.0,5.97
Sogod,Cebu,MALE,"11,582.0","12,275",693.0,5.98
Sogod,Southern Leyte,MALE,"17,080.0","16,495",-585.0,-3.43
Solana,Cagayan,MALE,"23,890.0","24,512",622.0,2.6
Solano,Nueva Vizcaya,MALE,"18,896.0","19,882",986.0,5.22
Solsona,Ilocos Norte,MALE,"8,931.0","9,478",547.0,6.12
Sominot (Don Mariano Marcos),Zamboanga Del Sur,MALE,"5,387.0","5,680",293.0,5.44
Sorsogon City,Sorsogon,MALE,"48,331.0","54,328","5,997.0",12.41
South Ubian,Tawi-Tawi,MALE,"6,516.0","7,396",880.0,13.51
South Upi,Maguindanao,MALE,"14,487.0","16,847","2,360.0",16.29
Sual,Pangasinan,MALE,"14,872.0","16,213","1,341.0",9.02
Subic,Zambales,MALE,"31,314.0","32,397","1,083.0",3.46
Sudipen,La Union,MALE,"7,182.0","7,226",44.0,0.61
Sugbongcogon,Misamis Oriental,MALE,"4,278.0","4,447",169.0,3.95
Sugpon,Ilocos Sur,MALE,"1,391.0","1,464",73.0,5.25
Sulat,Eastern Samar,MALE,"6,025.0","6,211",186.0,3.09
Sulop,Davao Del Sur,MALE,"11,681.0","12,193",512.0,4.38
Sultan Dumalondong,Lanao Del Sur,MALE,"2,855.0","3,733",878.0,30.75
Sultan Kudarat (Nuling),Maguindanao,MALE,"25,626.0","30,432","4,806.0",18.75
Sultan Mastura,Maguindanao,MALE,"7,876.0","8,622",746.0,9.47
Sultan Naga Dimaporo  (Karomatan),Lanao Del Norte,MALE,"13,065.0","15,524","2,459.0",18.82
Sultan Sa Barongis (Lambayong),Maguindanao,MALE,"7,572.0","9,577","2,005.0",26.48
Sumilao,Bukidnon,MALE,"8,945.0","9,675",730.0,8.16
Sumisip,Basilan,MALE,"11,483.0","11,499",16.0,0.14
Surallah,South Cotabato,MALE,"26,450.0","28,089","1,639.0",6.2
Surigao City,Surigao Del Norte,MALE,"51,274.0","54,110","2,836.0",5.53
Suyo,Ilocos Sur,MALE,"3,912.0","3,969",57.0,1.46
T`Boli,South Cotabato,MALE,"28,394.0","14,690","-13,704.0",-48.26
Taal,Batangas,MALE,"18,071.0","18,714",643.0,3.56
Tabaco  City,Albay,MALE,"38,190.0","42,370","4,180.0",10.95
Tabango,Leyte,MALE,"11,584.0","12,350",766.0,6.61
Tabina,Zamboanga Del Sur,MALE,"7,636.0","8,916","1,280.0",16.76
Tabogon,Cebu,MALE,"13,704.0","14,543",839.0,6.12
Tabontabon,Leyte,MALE,"4,502.0","4,945",443.0,9.84
Tabuan-Lasa,Basilan,MALE,"7,346.0","8,437","1,091.0",14.85
Tabuelan,Cebu,MALE,"9,970.0","10,522",552.0,5.54
Tabuk City,Kalinga,MALE,"30,840.0","34,721","3,881.0",12.58
Tacloban City,Leyte,MALE,"68,259.0","70,882","2,623.0",3.84
Tacurong City,Sultan Kudarat,MALE,"28,219.0","30,273","2,054.0",7.28
Tadian,Mountain Province,MALE,"6,668.0","6,628",-40.0,-0.6
Taft,Eastern Samar,MALE,"7,343.0","7,647",304.0,4.14
Tagana-An,Surigao Del Norte,MALE,"6,646.0","6,974",328.0,4.94
Tagapul-An,Samar (Western Samar),MALE,"4,255.0","4,204",-51.0,-1.2
Tagaytay City,Cavite,MALE,"24,638.0","24,402",-236.0,-0.96
Tagbilaran City,Bohol,MALE,"31,446.0","33,491","2,045.0",6.5
Tagbina,Surigao Del Sur,MALE,"13,445.0","14,575","1,130.0",8.4
Tagkawayan,Quezon,MALE,"16,613.0","17,742","1,129.0",6.8
Tago,Surigao Del Sur,MALE,"13,776.0","14,980","1,204.0",8.74
Tagoloan,Lanao Del Norte,MALE,"4,705.0","4,601",-104.0,-2.21
Tagoloan,Lanao Del Sur,MALE,"6,388.0","10,497","4,109.0",64.32
Tagoloan,Misamis Oriental,MALE,"21,317.0","24,184","2,867.0",13.45
Tagudin,Ilocos Sur,MALE,"12,667.0","13,909","1,242.0",9.81
Taguig City,Ncr,MALE,"197,741.0","203,860","6,119.0",3.09
Talacogon,Agusan Del Sur,MALE,"11,503.0","12,003",500.0,4.35
Talaingod,Davao (Davao Del Norte),MALE,"6,809.0","9,211","2,402.0",35.28
Talakag,Bukidnon,MALE,"22,524.0","23,615","1,091.0",4.84
Talalora,Samar (Western Samar),MALE,"3,535.0","3,569",34.0,0.96
Talavera,Nueva Ecija,MALE,"40,149.0","46,208","6,059.0",15.09
Talayan,Maguindanao,MALE,"6,133.0","9,181","3,048.0",49.7
Talibon,Bohol,MALE,"18,358.0","20,741","2,383.0",12.98
Talipao,Sulu,MALE,"12,407.0","14,192","1,785.0",14.39
Talisay,Batangas,MALE,"13,596.0","14,113",517.0,3.8
Talisay,Camarines Norte,MALE,"7,744.0","8,510",766.0,9.89
Talisay City,Cebu,MALE,"65,272.0","70,964","5,692.0",8.72
Talisay City,Negros Occidental,MALE,"31,253.0","31,713",460.0,1.47
Talisayan,Misamis Oriental,MALE,"9,923.0","10,137",214.0,2.16
Talitay,Maguindanao,MALE,"5,686.0","10,457","4,771.0",83.91
Talugtug,Nueva Ecija,MALE,"7,894.0","8,414",520.0,6.59
Talusan,Zamboanga Sibugay,MALE,"5,222.0","5,531",309.0,5.92
Tambulig,Zamboanga Del Sur,MALE,"12,127.0","12,914",787.0,6.49
Tampakan,South Cotabato,MALE,"13,762.0","14,722",960.0,6.98
Tamparan,Lanao Del Sur,MALE,"7,425.0","9,897","2,472.0",33.29
Tampilisan,Zamboanga Del Norte,MALE,"8,578.0","8,462",-116.0,-1.35
Tanauan,Leyte,MALE,"18,437.0","18,987",550.0,2.98
Tanauan  City,Batangas,MALE,"54,670.0","65,188","10,518.0",19.24
Tanay,Rizal,MALE,"33,697.0","34,083",386.0,1.15
Tandag City,Surigao Del Sur,MALE,"19,793.0","22,142","2,349.0",11.87
Tandubas,Tawi-Tawi,MALE,"6,306.0","7,077",771.0,12.23
Tangalan,Aklan,MALE,"7,007.0","7,660",653.0,9.32
Tangcal,Lanao Del Norte,MALE,"3,455.0","4,782","1,327.0",38.41
Tangub City,Misamis Occidental,MALE,"19,399.0","21,716","2,317.0",11.94
Tanjay City,Negros Oriental,MALE,"27,174.0","28,151",977.0,3.6
Tantangan,South Cotabato,MALE,"13,327.0","24,089","10,762.0",80.75
Tanudan,Kalinga,MALE,"4,909.0","5,702",793.0,16.15
Tanza,Cavite,MALE,"64,266.0","72,583","8,317.0",12.94
Tapaz,Capiz,MALE,"18,144.0","18,425",281.0,1.55
Tapul,Sulu,MALE,"3,685.0","5,663","1,978.0",53.68
Taraka,Lanao Del Sur,MALE,"4,838.0","5,202",364.0,7.52
Tarangnan,Samar (Western Samar),MALE,"10,044.0","10,212",168.0,1.67
Tarragona,Davao Oriental,MALE,"10,056.0","10,542",486.0,4.83
Tayabas City,Quezon,MALE,"28,761.0","33,078","4,317.0",15.01
Tayasan,Negros Oriental,MALE,"12,091.0","12,620",529.0,4.38
Taysan,Batangas,MALE,"13,224.0","14,380","1,156.0",8.74
Taytay,Palawan,MALE,"23,100.0","25,972","2,872.0",12.43
Taytay,Rizal,MALE,"68,198.0","67,453",-745.0,-1.09
Tayug,Pangasinan,MALE,"14,034.0","14,703",669.0,4.77
Tayum,Abra,MALE,"5,284.0","5,392",108.0,2.04
Teresa,Rizal,MALE,"19,396.0","22,580","3,184.0",16.42
Ternate,Cavite,MALE,"7,760.0","8,603",843.0,10.86
Tiaong,Quezon,MALE,"26,970.0","30,990","4,020.0",14.91
Tibiao,Antique,MALE,"8,702.0","9,127",425.0,4.88
Tigaon,Camarines Sur,MALE,"16,938.0","19,408","2,470.0",14.58
Tigbao,Zamboanga Del Sur,MALE,"6,574.0","7,186",612.0,9.31
Tigbauan,Iloilo,MALE,"18,896.0","19,925","1,029.0",5.45
Tinambac,Camarines Sur,MALE,"20,192.0","22,696","2,504.0",12.4
Tineg,Abra,MALE,"1,683.0","1,721",38.0,2.26
Tinglayan,Kalinga,MALE,"4,804.0","6,084","1,280.0",26.64
Tingloy,Batangas,MALE,"5,771.0","5,703",-68.0,-1.18
Tinoc,Ifugao,MALE,"5,245.0","6,272","1,027.0",19.58
Tipo-Tipo,Basilan,MALE,"5,761.0","8,197","2,436.0",42.28
Titay,Zamboanga Sibugay,MALE,"17,988.0","17,480",-508.0,-2.82
Tiwi,Albay,MALE,"17,248.0","18,100",852.0,4.94
Tobias Fornier (Dao),Antique,MALE,"8,902.0","9,528",626.0,7.03
Toboso,Negros Occidental,MALE,"14,808.0","15,763",955.0,6.45
Toledo City,Cebu,MALE,"57,103.0","58,628","1,525.0",2.67
Tolosa,Leyte,MALE,"7,568.0","7,729",161.0,2.13
Tomas Oppus,Southern Leyte,MALE,"5,861.0","6,238",377.0,6.43
Tongkil,Sulu,MALE,"6,486.0","6,726",240.0,3.7
Torrijos,Marinduque,MALE,"9,288.0","10,346","1,058.0",11.39
Trece Martires City,Cavite,MALE,"38,608.0","53,952","15,344.0",39.74
Trento,Agusan Del Sur,MALE,"16,972.0","17,732",760.0,4.48
Trinidad,Bohol,MALE,"10,878.0","11,856",978.0,8.99
Tuao,Cagayan,MALE,"18,894.0","19,559",665.0,3.52
Tuba,Benguet,MALE,"13,530.0","14,008",478.0,3.53
Tubajon,Dinagat Islands,MALE,"3,183.0","3,489",306.0,9.61
Tubao,La Union,MALE,"9,503.0","10,191",688.0,7.24
Tubaran,Lanao Del Sur,MALE,"4,630.0","5,531",901.0,19.46
Tubay,Agusan Del Norte,MALE,"11,512.0","12,101",589.0,5.12
Tubigon,Bohol,MALE,"15,224.0","16,116",892.0,5.86
Tublay,Benguet,MALE,"5,398.0","5,742",344.0,6.37
Tubo,Abra,MALE,"1,984.0","2,115",131.0,6.6
Tubod,Lanao Del Norte,MALE,"13,936.0","14,606",670.0,4.81
Tubod,Surigao Del Norte,MALE,"5,545.0","5,726",181.0,3.26
Tubungan,Iloilo,MALE,"7,094.0","7,421",327.0,4.61
Tuburan,Basilan,MALE,"2,551.0","3,393",842.0,33.01
Tuburan,Cebu,MALE,"24,120.0","24,066",-54.0,-0.22
Tudela,Cebu,MALE,"4,289.0","4,339",50.0,1.17
Tudela,Misamis Occidental,MALE,"9,549.0","9,477",-72.0,-0.75
Tugaya,Lanao Del Sur,MALE,"6,370.0","6,971",601.0,9.43
Tuguegarao City,Cagayan,MALE,"43,158.0","45,361","2,203.0",5.1
Tukuran,Zamboanga Del Sur,MALE,"13,227.0","15,175","1,948.0",14.73
Tulunan,Cotabato (North Cotabato),MALE,"17,984.0","19,755","1,771.0",9.85
Tumauini,Isabela,MALE,"21,270.0","23,640","2,370.0",11.14
Tunga,Leyte,MALE,"3,367.0","3,592",225.0,6.68
Tungawan,Zamboanga Sibugay,MALE,"13,973.0","15,525","1,552.0",11.11
Tupi,South Cotabato,MALE,"22,594.0","31,058","8,464.0",37.46
Turtle Islands,Tawi-Tawi,MALE,"3,468.0","4,848","1,380.0",39.79
Tuy,Batangas,MALE,"14,968.0","14,710",-258.0,-1.72
Ubay,Bohol,MALE,"23,208.0","24,574","1,366.0",5.89
Umingan,Pangasinan,MALE,"25,417.0","28,019","2,602.0",10.24
Ungkaya Pukan,Basilan,MALE,"5,056.0","5,555",499.0,9.87
Unisan,Quezon,MALE,"8,640.0","9,013",373.0,4.32
Upi,Maguindanao,MALE,"20,328.0","23,704","3,376.0",16.61
Urbiztondo,Pangasinan,MALE,"16,820.0","19,447","2,627.0",15.62
Urdaneta City,Pangasinan,MALE,"43,214.0","47,843","4,629.0",10.71
Uson,Masbate,MALE,"17,339.0","17,330",-9.0,-0.05
Uyugan,Batanes,MALE,556.0,633,77.0,13.85
Valderrama,Antique,MALE,"6,814.0","7,124",310.0,4.55
Valencia,Bohol,MALE,"8,469.0","9,083",614.0,7.25
Valencia  City,Bukidnon,MALE,"56,972.0","63,061","6,089.0",10.69
Valencia (Luzurriaga),Negros Oriental,MALE,"12,825.0","13,181",356.0,2.78
Valladolid,Negros Occidental,MALE,"12,163.0","12,339",176.0,1.45
Vallehermoso,Negros Oriental,MALE,"11,932.0","12,258",326.0,2.73
Veruela,Agusan Del Sur,MALE,"11,843.0","11,701",-142.0,-1.2
Victoria,Laguna,MALE,"13,336.0","14,454","1,118.0",8.38
Victoria,Northern Samar,MALE,"6,088.0","6,199",111.0,1.82
Victoria,Oriental Mindoro,MALE,"15,682.0","16,290",608.0,3.88
Victoria,Tarlac,MALE,"19,247.0","20,039",792.0,4.11
Victorias City,Negros Occidental,MALE,"30,680.0","30,243",-437.0,-1.42
Viga,Catanduanes,MALE,"8,629.0","8,655",26.0,0.3
Vigan City,Ilocos Sur,MALE,"15,216.0","16,591","1,375.0",9.04
Villaba,Leyte,MALE,"16,036.0","15,827",-209.0,-1.3
Villanueva,Misamis Oriental,MALE,"11,339.0","12,724","1,385.0",12.21
Villareal,Samar (Western Samar),MALE,"10,196.0","10,827",631.0,6.19
Villasis,Pangasinan,MALE,"20,663.0","22,297","1,634.0",7.91
Villaverde,Nueva Vizcaya,MALE,"5,678.0","5,971",293.0,5.16
Villaviciosa,Abra,MALE,"2,322.0","2,370",48.0,2.07
Vincenzo A. Sagun,Zamboanga Del Sur,MALE,"7,427.0","7,731",304.0,4.09
Vintar,Ilocos Norte,MALE,"11,272.0","11,225",-47.0,-0.42
Vinzons,Camarines Norte,MALE,"12,726.0","14,144","1,418.0",11.14
Virac,Catanduanes,MALE,"24,298.0","25,491","1,193.0",4.91
Wao,Lanao Del Sur,MALE,"19,619.0","21,293","1,674.0",8.53
Zamboanga City,Zamboanga Del Sur,MALE,"220,269.0","209,861","-10,408.0",-4.73
Zamboanguita,Negros Oriental,MALE,"9,082.0","9,781",699.0,7.7
Zaragoza,Nueva Ecija,MALE,"14,618.0","15,059",441.0,3.02
Zarraga,Iloilo,MALE,"8,348.0","9,259",911.0,10.91
Zumarraga,Samar (Western Samar),MALE,"7,077.0","7,532",455.0,6.43
