municipality,province,absolute_change
PIKIT,COTABATO (NORTH COTABATO),-26205.0
PILA,LAGUNA,983.0
PILAR,ABRA,168.0
PILAR,BATAAN,1426.0
PILAR,BOHOL,789.0
PILAR,CAPIZ,814.0
PILAR,CEBU,123.0
PILAR,SORSOGON,3539.0
PILAR,SURIGAO DEL NORTE,225.0
PILI,CAMARINES SUR,8389.0
PILILLA,RIZAL,-122.0
PINABACDAO,SAMAR (WESTERN SAMAR),478.0
PINAMALAYAN,ORIENTAL MINDORO,2552.0
PINAMUNGAHAN,CEBU,3173.0
PINAN (NEW PINAN),ZAMBOANGA DEL NORTE,1962.0
PINILI,ILOCOS NORTE,436.0
PINTUYAN,SOUTHERN LEYTE,-50.0
PINUKPUK,KALINGA,1054.0
PIO DURAN,ALBAY,-72.0
PIO V. CORPUZ (LIMBUHAN),MASBATE,-822.0
PITOGO,QUEZON,334.0
PITOGO,ZAMBOANGA DEL SUR,2529.0
PLACER,MASBATE,2481.0
PLACER,SURIGAO DEL NORTE,1969.0
PLARIDEL,BULACAN,2638.0
PLARIDEL,MISAMIS OCCIDENTAL,1270.0
PLARIDEL,QUEZON,199.0
POLA,ORIENTAL MINDORO,1864.0
POLANCO,ZAMBOANGA DEL NORTE,4652.0
POLANGUI,ALBAY,3425.0
POLILLO,QUEZON,191.0
POLOMOLOK,SOUTH COTABATO,16947.0
PONTEVEDRA,CAPIZ,898.0
PONTEVEDRA,NEGROS OCCIDENTAL,-271.0
POONA BAYABAO  (GATA),LANAO DEL SUR,3319.0
POONA PIAGAPO,LANAO DEL NORTE,548.0
PORAC,PAMPANGA,10292.0
PORO,CEBU,1512.0
POTOTAN,ILOILO,2073.0
POZZORUBIO,PANGASINAN,5743.0
PRES. CARLOS P. GARCIA (PITOGO),BOHOL,320.0
PRES. MANUEL A. ROXAS,ZAMBOANGA DEL NORTE,1665.0
PRESENTACION (PARUBCAN),CAMARINES SUR,1009.0
PRESIDENT QUIRINO,SULTAN KUDARAT,2931.0
PRESIDENT ROXAS,CAPIZ,906.0
PRESIDENT ROXAS,COTABATO (NORTH COTABATO),1112.0
PRIETO DIAZ,SORSOGON,1192.0
PROSPERIDAD,AGUSAN DEL SUR,2599.0
PUALAS,LANAO DEL SUR,2204.0
PUDTOL,APAYAO,627.0
PUERTO GALERA,ORIENTAL MINDORO,1524.0
PUERTO PRINCESA CITY,PALAWAN,10719.0
PUGO,LA UNION,511.0
PULILAN,BULACAN,4562.0
PULUPANDAN,NEGROS OCCIDENTAL,-14.0
PURA,TARLAC,948.0
QUEZON,BUKIDNON,3433.0
QUEZON,ISABELA,-192.0
QUEZON,NUEVA ECIJA,1129.0
QUEZON,NUEVA VIZCAYA,690.0
QUEZON,PALAWAN,2877.0
QUEZON,QUEZON,379.0
QUEZON CITY,NCR,73777.0
QUINAPONDAN,EASTERN SAMAR,-229.0
QUIRINO,ISABELA,425.0
QUIRINO (ANGKAKI),ILOCOS SUR,628.0
RAGAY,CAMARINES SUR,2020.0
RAJAH BUAYAN,MAGUINDANAO,4598.0
RAMON,ISABELA,1504.0
RAMON MAGSAYSAY (LIARGO),ZAMBOANGA DEL SUR,-115.0
RAMOS,TARLAC,982.0
RAPU-RAPU,ALBAY,659.0
REAL,QUEZON,2905.0
REINA MERCEDES,ISABELA,2065.0
REMEDIOS T. ROMUALDEZ,AGUSAN DEL NORTE,750.0
RIZAL,CAGAYAN,490.0
RIZAL,LAGUNA,751.0
RIZAL,NUEVA ECIJA,140.0
RIZAL,OCCIDENTAL MINDORO,2759.0
RIZAL,ZAMBOANGA DEL NORTE,575.0
RIZAL (LIWAN),KALINGA,1359.0
RIZAL (MARCOS),PALAWAN,2228.0
RODRIGUEZ  (MONTALBAN),RIZAL,-7682.0
ROMBLON,ROMBLON,1282.0
RONDA,CEBU,-117.0
ROSALES,PANGASINAN,414.0
ROSARIO,AGUSAN DEL SUR,2043.0
ROSARIO,BATANGAS,5962.0
ROSARIO,CAVITE,9042.0
ROSARIO,LA UNION,1285.0
ROSARIO,NORTHERN SAMAR,605.0
ROSELLER LIM,ZAMBOANGA SIBUGAY,3422.0
ROXAS,ISABELA,2082.0
ROXAS,ORIENTAL MINDORO,5632.0
ROXAS,PALAWAN,1521.0
ROXAS CITY,CAPIZ,5185.0
SABANGAN,MOUNTAIN PROVINCE,749.0
SABLAN,BENGUET,730.0
SABLAYAN,OCCIDENTAL MINDORO,5309.0
SABTANG,BATANES,159.0
SADANGA,MOUNTAIN PROVINCE,116.0
SAGADA,MOUNTAIN PROVINCE,574.0
SAGAY,CAMIGUIN,230.0
SAGAY CITY,NEGROS OCCIDENTAL,2416.0
SAGBAYAN (BORJA),BOHOL,759.0
SAGNAY,CAMARINES SUR,1850.0
SAGUDAY,QUIRINO,538.0
SAGUIARAN,LANAO DEL SUR,4182.0
SAINT BERNARD,SOUTHERN LEYTE,76.0
SALAY,MISAMIS ORIENTAL,823.0
SALCEDO,EASTERN SAMAR,-409.0
SALCEDO (BAUGEN),ILOCOS SUR,123.0
SALLAPADAN,ABRA,-24.0
SALUG,ZAMBOANGA DEL NORTE,223.0
SALVADOR,LANAO DEL NORTE,746.0
SALVADOR BENEDICTO,NEGROS OCCIDENTAL,1123.0
SAMAL,BATAAN,3246.0
SAMBOAN,CEBU,217.0
SAMPALOC,QUEZON,237.0
SAN AGUSTIN,ISABELA,1386.0
SAN AGUSTIN,ROMBLON,723.0
SAN AGUSTIN,SURIGAO DEL SUR,2394.0
SAN ANDRES,QUEZON,3171.0
SAN ANDRES,ROMBLON,347.0
SAN ANDRES (CALOLBON),CATANDUANES,-16.0
SAN ANTONIO,NORTHERN SAMAR,142.0
SAN ANTONIO,NUEVA ECIJA,1705.0
SAN ANTONIO,QUEZON,2026.0
SAN ANTONIO,ZAMBALES,902.0
SAN BENITO,SURIGAO DEL NORTE,876.0
SAN CARLOS CITY,NEGROS OCCIDENTAL,-906.0
SAN CARLOS CITY,PANGASINAN,15113.0
SAN CLEMENTE,TARLAC,71.0
SAN DIONISIO,ILOILO,1214.0
SAN EMILIO,ILOCOS SUR,220.0
SAN ENRIQUE,ILOILO,292.0
SAN ENRIQUE,NEGROS OCCIDENTAL,738.0
SAN ESTEBAN,ILOCOS SUR,220.0
SAN FABIAN,PANGASINAN,5562.0
SAN FELIPE,ZAMBALES,1597.0
SAN FERNANDO,BUKIDNON,3162.0
SAN FERNANDO,CAMARINES SUR,973.0
SAN FERNANDO,CEBU,1493.0
SAN FERNANDO,MASBATE,-340.0
SAN FERNANDO,ROMBLON,-458.0
SAN FERNANDO CITY,PAMPANGA,26445.0
SAN FRANCISCO,AGUSAN DEL SUR,2547.0
SAN FRANCISCO,CEBU,3334.0
SAN FRANCISCO,SOUTHERN LEYTE,320.0
SAN FRANCISCO (ANAO-AON),SURIGAO DEL NORTE,1555.0
SAN FRANCISCO (AURORA),QUEZON,2207.0
SAN GABRIEL,LA UNION,1142.0
SAN GUILLERMO,ISABELA,1382.0
SAN ILDEFONSO,BULACAN,3601.0
SAN ILDEFONSO,ILOCOS SUR,295.0
SAN ISIDRO,ABRA,13.0
SAN ISIDRO,BOHOL,94.0
SAN ISIDRO,DAVAO (DAVAO DEL NORTE),1544.0
SAN ISIDRO,DAVAO ORIENTAL,1511.0
SAN ISIDRO,ISABELA,2016.0
SAN ISIDRO,LEYTE,625.0
SAN ISIDRO,NORTHERN SAMAR,512.0
SAN ISIDRO,NUEVA ECIJA,1392.0
SAN ISIDRO,SURIGAO DEL NORTE,687.0
SAN JACINTO,MASBATE,1595.0
SAN JACINTO,PANGASINAN,1295.0
SAN JOAQUIN,ILOILO,-45.0
SAN JORGE,SAMAR (WESTERN SAMAR),937.0
SAN JOSE,ANTIQUE,2463.0
SAN JOSE,BATANGAS,2792.0
SAN JOSE,CAMARINES SUR,2240.0
SAN JOSE,DINAGAT ISLANDS,189.0
SAN JOSE,NEGROS ORIENTAL,1247.0
SAN JOSE,NORTHERN SAMAR,163.0
SAN JOSE,OCCIDENTAL MINDORO,6247.0
SAN JOSE,ROMBLON,452.0
SAN JOSE,TARLAC,1406.0
SAN JOSE CITY,NUEVA ECIJA,-373.0
SAN JOSE DE BUAN,SAMAR (WESTERN SAMAR),856.0
SAN JOSE DEL MONTE  CITY,BULACAN,14173.0
SAN JUAN,ABRA,55.0
SAN JUAN,BATANGAS,3455.0
SAN JUAN,LA UNION,1414.0
SAN JUAN,SIQUIJOR,682.0
SAN JUAN (CABALIAN),SOUTHERN LEYTE,381.0
SAN JUAN (LAPOG),ILOCOS SUR,1148.0
SAN JUAN CITY,NCR,26663.0
SAN JULIAN,EASTERN SAMAR,-81.0
SAN LEONARDO,NUEVA ECIJA,1273.0
SAN LORENZO,GUIMARAS,869.0
SAN LORENZO RUIZ (IMELDA),CAMARINES NORTE,631.0
SAN LUIS,AGUSAN DEL SUR,1151.0
SAN LUIS,AURORA,1588.0
SAN LUIS,BATANGAS,997.0
SAN LUIS,PAMPANGA,1632.0
SAN MANUEL,ISABELA,102.0
SAN MANUEL,PANGASINAN,1400.0
SAN MANUEL,TARLAC,993.0
SAN MARCELINO,ZAMBALES,2040.0
SAN MARIANO,ISABELA,2200.0
SAN MATEO,ISABELA,3753.0
SAN MATEO,RIZAL,3858.0
SAN MIGUEL,BOHOL,1377.0
SAN MIGUEL,BULACAN,5706.0
SAN MIGUEL,CATANDUANES,-273.0
SAN MIGUEL,ILOILO,1133.0
SAN MIGUEL,LEYTE,681.0
SAN MIGUEL,SURIGAO DEL SUR,2291.0
SAN MIGUEL,ZAMBOANGA DEL SUR,1052.0
SAN NARCISO,QUEZON,1893.0
SAN NARCISO,ZAMBALES,683.0
SAN NICOLAS,BATANGAS,-17.0
SAN NICOLAS,ILOCOS NORTE,2205.0
SAN NICOLAS,PANGASINAN,884.0
SAN PABLO,ISABELA,728.0
SAN PABLO,ZAMBOANGA DEL SUR,222.0
SAN PABLO CITY,LAGUNA,6955.0
SAN PASCUAL,BATANGAS,-860.0
SAN PASCUAL,MASBATE,1493.0
SAN PEDRO CITY,LAGUNA,-11550.0
SAN POLICARPO,EASTERN SAMAR,1368.0
SAN QUINTIN,ABRA,-107.0
SAN QUINTIN,PANGASINAN,827.0
SAN RAFAEL,BULACAN,1872.0
SAN RAFAEL,ILOILO,757.0
SAN REMIGIO,ANTIQUE,2151.0
SAN REMIGIO,CEBU,1624.0
SAN RICARDO,SOUTHERN LEYTE,2.0
SAN ROQUE,NORTHERN SAMAR,-72.0
SAN SEBASTIAN,SAMAR (WESTERN SAMAR),539.0
SAN SIMON,PAMPANGA,6850.0
SAN TEODORO,ORIENTAL MINDORO,791.0
SAN VICENTE,CAMARINES NORTE,310.0
SAN VICENTE,ILOCOS SUR,799.0
SAN VICENTE,NORTHERN SAMAR,-175.0
SAN VICENTE,PALAWAN,2346.0
SANCHEZ-MIRA,CAGAYAN,2165.0
SANTA,ILOCOS SUR,-222.0
SANTA ANA,CAGAYAN,2439.0
SANTA ANA,PAMPANGA,2442.0
SANTA BARBARA,ILOILO,3318.0
SANTA BARBARA,PANGASINAN,3091.0
SANTA CATALINA,ILOCOS SUR,176.0
SANTA CATALINA,NEGROS ORIENTAL,802.0
SANTA CRUZ,DAVAO DEL SUR,10883.0
SANTA CRUZ,ILOCOS SUR,513.0
SANTA CRUZ,LAGUNA,7663.0
SANTA CRUZ,MARINDUQUE,1465.0
SANTA CRUZ,OCCIDENTAL MINDORO,30.0
SANTA CRUZ,ZAMBALES,1259.0
SANTA ELENA,CAMARINES NORTE,2536.0
SANTA FE,CEBU,2428.0
SANTA FE,LEYTE,640.0
SANTA FE,NUEVA VIZCAYA,878.0
SANTA FE,ROMBLON,225.0
SANTA IGNACIA,TARLAC,1790.0
SANTA JOSEFA,AGUSAN DEL SUR,-330.0
SANTA LUCIA,ILOCOS SUR,936.0
SANTA MAGDALENA,SORSOGON,553.0
SANTA MARCELA,APAYAO,373.0
SANTA MARGARITA,SAMAR (WESTERN SAMAR),1656.0
SANTA MARIA,BULACAN,15125.0
SANTA MARIA,DAVAO OCCIDENTAL,1120.0
SANTA MARIA,ILOCOS SUR,-223.0
SANTA MARIA,ISABELA,1472.0
SANTA MARIA,LAGUNA,3063.0
SANTA MARIA,PANGASINAN,988.0
SANTA MARIA (IMELDA),ROMBLON,91.0
SANTA MONICA (SAPAO),SURIGAO DEL NORTE,-50.0
SANTA PRAXEDES,CAGAYAN,-317.0
SANTA RITA,PAMPANGA,2445.0
SANTA RITA,SAMAR (WESTERN SAMAR),1570.0
SANTA ROSA,NUEVA ECIJA,4633.0
SANTA ROSA CITY,LAGUNA,8133.0
SANTA TERESITA,BATANGAS,62.0
SANTA TERESITA,CAGAYAN,1026.0
SANTANDER,CEBU,705.0
SANTIAGO,AGUSAN DEL NORTE,1711.0
SANTIAGO,ILOCOS SUR,434.0
SANTO DOMINGO,ILOCOS SUR,556.0
SANTO DOMINGO,NUEVA ECIJA,2552.0
SANTO DOMINGO (LIBOG),ALBAY,1498.0
SANTO NINO,SAMAR (WESTERN SAMAR),12.0
SANTO NINO,SOUTH COTABATO,-41.0
SANTO NINO (FAIRE),CAGAYAN,799.0
SANTO TOMAS,BATANGAS,12810.0
SANTO TOMAS,DAVAO (DAVAO DEL NORTE),8972.0
SANTO TOMAS,ISABELA,1685.0
SANTO TOMAS,LA UNION,1124.0
SANTO TOMAS,PAMPANGA,4929.0
SANTO TOMAS,PANGASINAN,1128.0
SANTOL,LA UNION,277.0
SAPA-SAPA,TAWI-TAWI,3713.0
SAPAD,LANAO DEL NORTE,-648.0
SAPANG DALAGA,MISAMIS OCCIDENTAL,2053.0
SAPI-AN,CAPIZ,-114.0
SARA,ILOILO,2067.0
SARANGANI,DAVAO OCCIDENTAL,1164.0
SARIAYA,QUEZON,9563.0
SARRAT,ILOCOS NORTE,-172.0
SASMUAN (SEXMOAN),PAMPANGA,925.0
SCIENCE CITY OF MUNOZ,NUEVA ECIJA,1885.0
SEBASTE,ANTIQUE,423.0
SEN. NINOY AQUINO,SULTAN KUDARAT,2271.0
SERGIO OSMENA SR.,ZAMBOANGA DEL NORTE,1723.0
SEVILLA,BOHOL,120.0
SHARIFF AGUAK (MAGANOY),MAGUINDANAO,3562.0
SHARIFF SAYDONA MUSTAPHA,MAGUINDANAO,993.0
SIASI,SULU,3329.0
SIATON,NEGROS ORIENTAL,1711.0
SIAY,ZAMBOANGA SIBUGAY,2731.0
SIAYAN,ZAMBOANGA DEL NORTE,3331.0
SIBAGAT,AGUSAN DEL SUR,286.0
SIBALOM,ANTIQUE,2710.0
SIBONGA,CEBU,2313.0
SIBUCO,ZAMBOANGA DEL NORTE,4686.0
SIBULAN,NEGROS ORIENTAL,3904.0
SIBUNAG,GUIMARAS,593.0
SIBUTAD,ZAMBOANGA DEL NORTE,556.0
SIBUTU,TAWI-TAWI,697.0
SIERRA BULLONES,BOHOL,943.0
SIGAY,ILOCOS SUR,-36.0
SIGMA,CAPIZ,698.0
SIKATUNA,BOHOL,18.0
SILAGO,SOUTHERN LEYTE,345.0
SILANG,CAVITE,13771.0
SILAY CITY,NEGROS OCCIDENTAL,3389.0
SILVINO LOBOS,NORTHERN SAMAR,-415.0
SIMUNUL,TAWI-TAWI,1863.0
SINACABAN,MISAMIS OCCIDENTAL,358.0
SINAIT,ILOCOS SUR,337.0
SINDANGAN,ZAMBOANGA DEL NORTE,9872.0
SINILOAN,LAGUNA,2213.0
SIOCON,ZAMBOANGA DEL NORTE,173.0
SIPALAY CITY,NEGROS OCCIDENTAL,5113.0
SIPOCOT,CAMARINES SUR,2825.0
SIQUIJOR,SIQUIJOR,782.0
SIRAWAI,ZAMBOANGA DEL NORTE,1072.0
SIRUMA,CAMARINES SUR,1247.0
SISON,PANGASINAN,1936.0
SISON,SURIGAO DEL NORTE,1018.0
SITANGKAI,TAWI-TAWI,2483.0
SOCORRO,ORIENTAL MINDORO,1783.0
SOCORRO,SURIGAO DEL NORTE,956.0
SOFRONIO ESPANOLA,PALAWAN,1402.0
SOGOD,CEBU,1251.0
SOGOD,SOUTHERN LEYTE,-1116.0
SOLANA,CAGAYAN,351.0
SOLANO,NUEVA VIZCAYA,1385.0
SOLSONA,ILOCOS NORTE,765.0
SOMINOT (DON MARIANO MARCOS),ZAMBOANGA DEL SUR,435.0
SORSOGON CITY,SORSOGON,11646.0
SOUTH UBIAN,TAWI-TAWI,1410.0
SOUTH UPI,MAGUINDANAO,4672.0
SUAL,PANGASINAN,2700.0
SUBIC,ZAMBALES,2727.0
SUDIPEN,LA UNION,40.0
SUGBONGCOGON,MISAMIS ORIENTAL,220.0
SUGPON,ILOCOS SUR,116.0
SULAT,EASTERN SAMAR,312.0
SULOP,DAVAO DEL SUR,933.0
SULTAN DUMALONDONG,LANAO DEL SUR,1484.0
SULTAN KUDARAT (NULING),MAGUINDANAO,10580.0
SULTAN MASTURA,MAGUINDANAO,1735.0
SULTAN NAGA DIMAPORO  (KAROMATAN),LANAO DEL NORTE,5108.0
SULTAN SA BARONGIS (LAMBAYONG),MAGUINDANAO,4349.0
SUMILAO,BUKIDNON,1371.0
SUMISIP,BASILAN,-110.0
SURALLAH,SOUTH COTABATO,2491.0
SURIGAO CITY,SURIGAO DEL NORTE,5271.0
SUYO,ILOCOS SUR,5.0
TAAL,BATANGAS,1198.0
TABACO  CITY,ALBAY,7634.0
TABANGO,LEYTE,1376.0
TABINA,ZAMBOANGA DEL SUR,2260.0
TABOGON,CEBU,1504.0
TABONTABON,LEYTE,810.0
TABUAN-LASA,BASILAN,2186.0
TABUELAN,CEBU,1151.0
TABUK CITY,KALINGA,7590.0
TACLOBAN CITY,LEYTE,4139.0
TACURONG CITY,SULTAN KUDARAT,3594.0
TADIAN,MOUNTAIN PROVINCE,-263.0
TAFT,EASTERN SAMAR,556.0
TAGANA-AN,SURIGAO DEL NORTE,616.0
TAGAPUL-AN,SAMAR (WESTERN SAMAR),9.0
TAGAYTAY CITY,CAVITE,-373.0
TAGBILARAN CITY,BOHOL,4556.0
TAGBINA,SURIGAO DEL SUR,2088.0
TAGKAWAYAN,QUEZON,2037.0
TAGO,SURIGAO DEL SUR,2097.0
TAGOLOAN,LANAO DEL NORTE,114.0
TAGOLOAN,LANAO DEL SUR,8321.0
TAGOLOAN,MISAMIS ORIENTAL,5331.0
TAGUDIN,ILOCOS SUR,2009.0
TAGUIG CITY,NCR,9059.0
TALACOGON,AGUSAN DEL SUR,853.0
TALAINGOD,DAVAO (DAVAO DEL NORTE),4239.0
TALAKAG,BUKIDNON,2035.0
TALALORA,SAMAR (WESTERN SAMAR),110.0
TALAVERA,NUEVA ECIJA,11596.0
TALAYAN,MAGUINDANAO,6786.0
TALIBON,BOHOL,4666.0
TALIPAO,SULU,3497.0
TALISAY,BATANGAS,847.0
TALISAY,CAMARINES NORTE,1308.0
TALISAY CITY,CEBU,10098.0
TALISAY CITY,NEGROS OCCIDENTAL,495.0
TALISAYAN,MISAMIS ORIENTAL,205.0
TALITAY,MAGUINDANAO,8410.0
TALUGTUG,NUEVA ECIJA,979.0
TALUSAN,ZAMBOANGA SIBUGAY,605.0
TAMBULIG,ZAMBOANGA DEL SUR,1464.0
TAMPAKAN,SOUTH COTABATO,1916.0
TAMPARAN,LANAO DEL SUR,4617.0
TAMPILISAN,ZAMBOANGA DEL NORTE,-44.0
TANAUAN,LEYTE,1042.0
TANAUAN  CITY,BATANGAS,20272.0
TANAY,RIZAL,894.0
TANDAG CITY,SURIGAO DEL SUR,4005.0
TANDUBAS,TAWI-TAWI,1477.0
TANGALAN,AKLAN,1178.0
TANGCAL,LANAO DEL NORTE,2250.0
TANGUB CITY,MISAMIS OCCIDENTAL,3649.0
TANJAY CITY,NEGROS ORIENTAL,2235.0
TANTANGAN,SOUTH COTABATO,21660.0
TANUDAN,KALINGA,1365.0
TANZA,CAVITE,17032.0
TAPAZ,CAPIZ,622.0
TAPUL,SULU,3730.0
TARAKA,LANAO DEL SUR,757.0
TARANGNAN,SAMAR (WESTERN SAMAR),525.0
TARRAGONA,DAVAO ORIENTAL,729.0
TAYABAS CITY,QUEZON,8286.0
TAYASAN,NEGROS ORIENTAL,1166.0
TAYSAN,BATANGAS,2086.0
TAYTAY,PALAWAN,5436.0
TAYTAY,RIZAL,-720.0
TAYUG,PANGASINAN,1019.0
TAYUM,ABRA,106.0
TERESA,RIZAL,6080.0
TERNATE,CAVITE,1508.0
TIAONG,QUEZON,7442.0
TIBIAO,ANTIQUE,696.0
TIGAON,CAMARINES SUR,5028.0
TIGBAO,ZAMBOANGA DEL SUR,1091.0
TIGBAUAN,ILOILO,1596.0
TINAMBAC,CAMARINES SUR,4940.0
TINEG,ABRA,38.0
TINGLAYAN,KALINGA,2178.0
TINGLOY,BATANGAS,-332.0
TINOC,IFUGAO,1673.0
TIPO-TIPO,BASILAN,4343.0
TITAY,ZAMBOANGA SIBUGAY,-634.0
TIWI,ALBAY,1595.0
TOBIAS FORNIER (DAO),ANTIQUE,1150.0
TOBOSO,NEGROS OCCIDENTAL,2005.0
TOLEDO CITY,CEBU,3331.0
TOLOSA,LEYTE,237.0
TOMAS OPPUS,SOUTHERN LEYTE,720.0
TONGKIL,SULU,850.0
TORRIJOS,MARINDUQUE,1949.0
TRECE MARTIRES CITY,CAVITE,32205.0
TRENTO,AGUSAN DEL SUR,1267.0
TRINIDAD,BOHOL,1845.0
TUAO,CAGAYAN,981.0
TUBA,BENGUET,781.0
TUBAJON,DINAGAT ISLANDS,495.0
TUBAO,LA UNION,1091.0
TUBARAN,LANAO DEL SUR,2030.0
TUBAY,AGUSAN DEL NORTE,1189.0
TUBIGON,BOHOL,1570.0
TUBLAY,BENGUET,584.0
TUBO,ABRA,192.0
TUBOD,LANAO DEL NORTE,1553.0
TUBOD,SURIGAO DEL NORTE,303.0
TUBUNGAN,ILOILO,505.0
TUBURAN,BASILAN,1853.0
TUBURAN,CEBU,201.0
TUDELA,CEBU,106.0
TUDELA,MISAMIS OCCIDENTAL,-210.0
TUGAYA,LANAO DEL SUR,1198.0
TUGUEGARAO CITY,CAGAYAN,3557.0
TUKURAN,ZAMBOANGA DEL SUR,3703.0
TULUNAN,COTABATO (NORTH COTABATO),3152.0
TUMAUINI,ISABELA,4725.0
TUNGA,LEYTE,449.0
TUNGAWAN,ZAMBOANGA SIBUGAY,2851.0
TUPI,SOUTH COTABATO,13574.0
TURTLE ISLANDS,TAWI-TAWI,2455.0
TUY,BATANGAS,-221.0
T`BOLI,SOUTH COTABATO,-25220.0
UBAY,BOHOL,2860.0
UMINGAN,PANGASINAN,4949.0
UNGKAYA PUKAN,BASILAN,902.0
UNISAN,QUEZON,701.0
UPI,MAGUINDANAO,6786.0
URBIZTONDO,PANGASINAN,4758.0
URDANETA CITY,PANGASINAN,8055.0
USON,MASBATE,-152.0
UYUGAN,BATANES,123.0
VALDERRAMA,ANTIQUE,589.0
VALENCIA,BOHOL,1022.0
VALENCIA  CITY,BUKIDNON,11168.0
VALENCIA (LUZURRIAGA),NEGROS ORIENTAL,922.0
VALLADOLID,NEGROS OCCIDENTAL,296.0
VALLEHERMOSO,NEGROS ORIENTAL,632.0
VERUELA,AGUSAN DEL SUR,-214.0
VICTORIA,LAGUNA,2054.0
VICTORIA,NORTHERN SAMAR,215.0
VICTORIA,ORIENTAL MINDORO,1216.0
VICTORIA,TARLAC,1715.0
VICTORIAS CITY,NEGROS OCCIDENTAL,-845.0
VIGA,CATANDUANES,-18.0
VIGAN CITY,ILOCOS SUR,2266.0
VILLABA,LEYTE,-112.0
VILLANUEVA,MISAMIS ORIENTAL,2833.0
VILLAREAL,SAMAR (WESTERN SAMAR),1312.0
VILLASIS,PANGASINAN,2818.0
VILLAVERDE,NUEVA VIZCAYA,414.0
VILLAVICIOSA,ABRA,94.0
VINCENZO A. SAGUN,ZAMBOANGA DEL SUR,547.0
VINTAR,ILOCOS NORTE,-77.0
VINZONS,CAMARINES NORTE,2673.0
VIRAC,CATANDUANES,1886.0
WAO,LANAO DEL SUR,3184.0
ZAMBOANGA CITY,ZAMBOANGA DEL SUR,-22295.0
ZAMBOANGUITA,NEGROS ORIENTAL,1434.0
ZARAGOZA,NUEVA ECIJA,771.0
ZARRAGA,ILOILO,1482.0
ZUMARRAGA,SAMAR (WESTERN SAMAR),986.0
